http_method,endpoint,status_code,response_size,request_rate,session_duration,requests_per_session,time_between_requests,failed_requests,url_length,query_param_count,payload_size,distinct_endpoints_accessed,login_attempts,request_pattern_entropy
post,/api/cart,401,4664,3.25,125,2,13.89,0,41,3,7359,5,1,2.89
put,/api/products,500,4592,4.78,249,25,13.13,0,22,6,1291,1,2,2.36
post,/api/cart,400,3232,4.87,223,55,21.14,1,37,3,4374,3,0,2.22
post,/api/search,429,2393,3.31,509,44,11.29,2,19,3,9292,3,0,2.22
post,/api/products,400,4374,2.86,598,48,0.01,4,46,1,771,2,3,1.47
get,/api/orders,404,1113,9.75,576,45,1.14,12,33,6,2591,9,13,0.63
post,/api/user/profile,200,2855,1.39,467,10,9.37,2,46,0,1832,5,1,1.22
post,/api/user/profile,403,4522,1.56,1150,50,19.78,1,42,3,8835,2,1,4.0
delete,/api/user/profile,201,682,3.09,191,22,15.98,0,29,1,514,1,4,2.19
patch,/api/search,500,643,9.6,426,137,0.12,3,21,0,6596,11,3,1.18
delete,/api/search,200,4628,1.6,571,56,29.82,0,15,1,3872,1,3,2.49
post,/api/orders,403,1983,0.91,644,28,21.58,5,18,9,8883,2,4,1.77
post,/api/login,200,871,2.81,199,44,0.01,1,41,10,9562,2,3,1.7
post,/api/products,201,4604,2.8,707,60,20.91,0,28,8,4345,1,0,2.6
post,/api/orders,400,2431,2.33,272,57,12.59,1,33,9,3450,5,2,1.61
put,/api/payment,500,4719,9.12,55,41,2.12,7,42,8,158,7,14,0.26
put,/api/user/profile,404,4786,1.18,691,24,5.96,0,41,9,2532,1,2,2.58
delete,/api/login,401,3970,14.33,283,121,1.57,3,37,4,3728,8,8,1.16
put,/api/products,404,3774,1.24,594,12,12.53,4,47,1,6311,3,2,2.7
patch,/api/cart,403,3545,15.9,348,200,0.48,12,35,6,4844,13,15,0.73
patch,/api/user/profile,500,3819,10.36,321,186,0.47,5,43,10,3501,10,8,1.13
put,/api/user/profile,201,3930,4.53,520,52,14.42,1,41,10,9431,4,1,3.1
get,/api/payment,500,4551,3.04,1011,4,9.84,4,50,9,5198,2,1,2.72
delete,/api/payment,401,2449,4.81,590,49,14.71,1,43,1,4681,6,2,3.44
post,/api/orders,429,4984,0.1,894,22,21.58,4,16,9,6232,4,3,2.55
patch,/api/cart,400,4028,2.05,952,32,15.73,0,23,9,8751,4,3,1.31
post,/api/payment,403,3653,2.17,836,21,17.86,1,31,1,7705,4,3,3.39
get,/api/payment,500,2299,1.72,372,16,8.53,1,38,2,9926,2,3,2.2
get,/api/user/profile,201,2670,3.87,872,46,17.63,1,22,9,672,2,0,2.18
get,/api/payment,403,4608,3.27,801,41,15.78,3,45,7,7136,6,1,3.08
put,/api/orders,404,2316,1.45,836,22,12.38,0,36,4,9767,2,3,2.26
post,/api/cart,401,3512,0.3,1035,42,17.37,5,30,4,9528,3,3,2.66
put,/api/cart,400,1769,2.51,532,8,13.12,5,28,7,4530,6,1,1.65
post,/api/products,403,1234,1.87,88,46,12.26,4,46,1,200,5,1,2.02
put,/api/payment,201,2233,2.26,1067,5,18.23,4,22,8,6818,3,0,3.63
delete,/api/products,403,865,2.76,183,40,17.06,5,25,3,2847,2,0,2.46
put,/api/login,429,1140,4.32,82,159,0.4,6,49,3,2441,8,14,0.79
patch,/api/cart,200,3739,2.65,682,45,11.54,3,35,9,4102,1,2,2.1
get,/api/payment,201,4050,12.02,541,266,0.39,6,37,6,5460,12,4,0.72
put,/api/cart,200,4644,13.21,332,169,0.19,7,44,6,888,13,3,0.94
post,/api/products,200,4724,2.49,308,2,21.14,5,41,1,3681,3,4,1.81
delete,/api/cart,400,771,1.34,1027,16,21.19,3,32,6,5568,5,4,2.02
patch,/api/user/profile,401,2156,4.58,1051,23,26.24,2,39,3,6730,3,4,3.34
post,/api/orders,400,3558,1.18,739,56,15.62,0,24,1,7692,1,3,2.2
put,/api/payment,201,3755,3.88,133,40,28.65,0,21,10,1646,2,1,3.02
put,/api/products,401,4276,2.51,1147,27,12.08,4,24,3,7555,4,1,2.89
put,/api/cart,500,1073,0.67,672,41,19.29,3,30,6,9370,4,2,1.95
put,/api/login,400,995,3.43,781,15,13.71,5,17,4,7222,6,1,2.27
delete,/api/search,403,2974,1.17,1147,33,12.15,2,22,7,1233,4,1,2.83
patch,/api/products,429,3243,4.07,1158,8,19.21,3,21,10,3830,5,2,3.32
post,/api/cart,401,4603,6.31,298,9,12.4,0,23,6,7432,1,0,2.38
post,/api/orders,404,1013,0.34,632,3,24.53,5,38,8,5876,2,2,3.28
get,/api/cart,401,2108,1.2,558,9,19.94,4,36,2,9764,2,1,3.23
post,/api/login,429,4509,2.84,547,38,21.78,2,22,1,7802,6,0,2.6
patch,/api/login,201,861,0.67,1040,55,23.39,3,35,9,2430,4,3,3.3
delete,/api/user/profile,401,3723,3.6,941,7,7.36,5,43,3,6779,5,0,2.05
put,/api/cart,400,4757,0.8,197,6,21.16,0,18,9,9201,3,0,3.26
get,/api/products,404,1141,3.14,1099,14,22.52,1,32,9,3705,5,3,1.98
patch,/api/login,429,770,2.72,692,59,4.04,2,24,10,502,5,2,2.04
put,/api/products,429,4178,3.82,382,49,13.08,4,43,6,4475,6,0,3.23
delete,/api/user/profile,403,2887,3.31,172,1,36.88,1,22,0,8149,3,2,2.56
patch,/api/payment,429,3621,6.37,456,49,1.54,9,33,1,6636,14,3,0.79
get,/api/orders,404,1577,0.89,880,34,18.86,0,19,8,1868,2,3,2.37
post,/api/login,500,4824,14.86,166,78,0.02,4,35,10,5179,14,14,0.75
patch,/api/login,429,3990,14.96,472,59,4.08,2,50,0,7368,6,7,0.46
post,/api/login,400,3181,0.23,1093,42,11.43,1,38,4,6347,4,0,3.01
get,/api/products,429,1256,2.82,367,22,5.03,0,20,4,9157,3,4,2.6
get,/api/cart,400,1469,3.08,692,12,7.93,1,19,4,1657,2,2,2.59
patch,/api/search,500,2534,2.59,399,47,5.86,3,43,3,8749,2,0,2.71
put,/api/cart,403,627,3.34,1089,34,23.66,3,45,5,9085,2,1,3.13
post,/api/products,404,2131,0.43,514,53,7.5,3,39,1,6142,4,2,2.81
post,/api/search,400,4695,3.27,1020,29,19.12,4,48,6,1821,2,0,4.0
get,/api/login,429,1734,14.28,257,113,1.45,6,20,8,5908,14,8,1.25
get,/api/orders,201,4966,2.85,579,48,16.41,0,36,2,726,6,2,1.81
delete,/api/cart,403,4422,0.25,135,19,16.32,1,40,8,7756,3,0,1.99
put,/api/products,404,4453,2.44,960,58,10.72,3,32,1,6955,4,2,1.43
get,/api/login,429,2449,3.04,932,11,11.68,5,18,1,6655,3,3,2.55
patch,/api/cart,400,3885,1.16,543,50,12.32,5,38,5,7273,1,2,3.44
post,/api/login,401,2539,2.69,852,59,19.4,4,46,3,2009,4,0,1.74
put,/api/cart,404,4367,21.56,307,193,1.22,4,29,1,3292,7,13,1.54
put,/api/orders,201,1226,3.9,77,198,1.9,8,35,10,1215,11,13,0.87
patch,/api/search,401,3034,1.83,314,34,1.65,1,48,4,1292,6,2,2.04
patch,/api/user/profile,200,432,4.99,375,11,12.33,5,20,0,9449,5,4,2.31
delete,/api/cart,429,4166,13.27,260,247,1.5,6,44,3,5573,12,9,0.16
delete,/api/search,429,3625,0.61,1015,8,22.34,2,30,2,5364,3,3,3.77
delete,/api/orders,403,4254,4.05,865,33,2.85,3,45,4,8793,1,1,2.21
delete,/api/products,403,1173,17.07,585,139,0.02,7,23,1,6453,12,10,0.52
post,/api/user/profile,400,2886,2.14,340,46,29.98,2,35,2,6438,5,3,2.49
patch,/api/orders,200,4087,1.1,738,44,4.64,0,31,10,9477,6,3,2.44
post,/api/payment,429,4310,0.1,450,2,4.6,3,45,0,2262,2,2,3.43
post,/api/orders,403,1898,4.48,1051,13,13.97,1,46,5,7861,3,2,2.22
patch,/api/cart,500,1952,2.59,654,3,33.78,2,27,8,4442,3,0,2.74
post,/api/search,400,3533,3.86,265,27,13.38,2,45,7,3267,1,3,2.54
patch,/api/search,200,275,3.47,134,54,16.01,3,34,9,9875,3,3,1.36
patch,/api/orders,404,2616,4.42,290,22,10.08,1,27,2,6643,1,3,3.77
post,/api/orders,200,2342,3.53,845,16,15.57,3,38,3,1017,6,2,2.76
get,/api/cart,429,4699,2.34,508,9,11.11,3,45,8,3578,3,1,2.62
delete,/api/user/profile,404,4462,3.83,186,54,11.28,4,43,1,3365,2,4,2.13
delete,/api/search,401,4937,1.97,1006,44,22.62,2,19,0,6941,6,0,3.37
delete,/api/login,201,4617,13.45,440,231,1.95,8,23,10,5697,11,9,1.03
get,/api/payment,401,1124,1.26,928,35,10.52,3,17,10,6868,3,1,2.95
get,/api/user/profile,400,4327,3.42,561,48,14.83,0,33,3,9438,1,3,2.57
post,/api/cart,200,3021,4.42,184,36,10.27,4,39,8,5222,4,1,2.83
delete,/api/search,403,1865,2.2,178,36,13.26,3,36,10,1295,2,3,3.16
get,/api/products,401,1161,3.74,504,31,21.51,1,45,3,9902,2,2,3.28
delete,/api/orders,404,1864,2.53,1110,57,20.46,3,38,5,6781,4,3,2.31
patch,/api/user/profile,404,2308,2.99,735,15,13.96,3,46,10,8037,6,4,2.56
delete,/api/search,500,3257,3.39,73,27,8.45,1,18,9,7916,2,1,3.76
patch,/api/cart,403,3103,7.98,450,131,1.34,3,32,6,1294,14,3,0.31
put,/api/cart,201,4294,3.66,836,25,20.34,4,42,10,5427,2,3,2.08
post,/api/search,200,1897,2.49,634,58,0.01,4,24,6,1260,3,4,3.56
put,/api/orders,429,2873,2.04,169,7,21.43,3,16,10,4478,5,1,2.87
delete,/api/search,400,3391,4.54,564,46,11.53,0,35,5,1745,6,0,2.62
post,/api/login,404,3355,3.34,1196,33,21.98,3,15,4,6779,1,0,3.19
patch,/api/user/profile,429,2655,10.09,285,194,3.53,6,45,1,5916,9,9,0.51
delete,/api/login,400,2661,11.15,350,234,1.8,7,35,9,3290,15,9,0.1
patch,/api/payment,200,3981,18.28,412,226,2.84,3,28,7,4773,7,11,0.79
post,/api/cart,429,4653,7.99,443,233,0.01,3,17,5,8796,11,9,0.53
post,/api/cart,401,3851,2.43,276,1,25.17,0,38,6,7586,5,2,2.96
get,/api/products,500,999,3.24,773,20,15.71,2,43,7,5225,3,3,1.63
get,/api/cart,400,1726,8.62,575,121,2.44,7,42,6,478,11,10,0.89
post,/api/search,500,4523,2.52,1159,12,15.78,2,35,9,6367,6,2,2.04
post,/api/payment,429,3626,2.54,301,16,18.98,2,23,9,6286,5,0,3.37
patch,/api/search,500,1318,3.94,704,54,32.23,3,27,6,9200,1,4,2.04
delete,/api/search,500,4703,3.81,126,18,16.47,1,47,1,9383,5,4,3.81
delete,/api/user/profile,500,1161,1.29,669,56,8.28,0,30,3,9632,1,3,2.14
post,/api/payment,403,2570,0.1,778,35,10.79,2,32,8,1560,6,4,2.04
post,/api/cart,429,3273,2.73,566,49,17.73,5,43,1,1525,3,3,3.63
delete,/api/products,500,2399,3.93,189,51,10.38,4,35,4,5533,2,3,1.96
get,/api/login,403,1502,13.97,461,273,2.9,2,32,1,5905,7,8,1.1
put,/api/cart,500,276,4.71,62,14,20.6,3,15,5,1975,6,0,2.42
get,/api/cart,200,1544,2.39,672,9,12.74,3,43,5,3490,1,1,2.68
get,/api/login,401,4733,7.61,369,259,0.58,7,33,0,4942,6,14,0.75
post,/api/orders,429,3193,4.36,205,34,2.24,0,49,10,2830,5,2,2.14
get,/api/products,201,4595,2.51,1097,19,15.38,5,49,9,2501,4,4,2.23
patch,/api/products,200,2733,3.43,548,4,6.46,1,26,1,207,5,0,2.41
patch,/api/payment,201,2354,2.68,610,47,19.12,0,19,7,7457,5,0,2.93
put,/api/payment,400,489,7.5,12,62,1.16,2,50,10,6870,7,5,0.47
patch,/api/products,404,907,10.78,538,63,1.34,8,50,7,130,9,3,1.42
delete,/api/products,200,2944,2.67,368,1,24.43,3,15,10,6164,6,0,2.54
delete,/api/orders,201,4957,5.59,149,59,29.04,1,21,8,2187,4,4,2.35
post,/api/products,201,1473,3.96,711,29,20.16,2,21,2,7365,5,1,3.32
delete,/api/products,401,2885,1.05,382,52,20.49,5,24,1,4066,1,2,3.14
get,/api/orders,400,1823,0.1,268,52,5.53,1,40,5,1376,2,0,1.28
delete,/api/payment,429,4264,2.1,147,30,20.74,0,16,6,6990,6,1,3.4
get,/api/user/profile,401,4653,12.3,431,285,0.61,2,16,6,5883,8,3,1.19
delete,/api/products,401,1507,3.0,508,2,14.88,2,21,3,3951,3,0,2.98
patch,/api/payment,404,4850,2.08,544,38,1.68,2,24,9,3084,6,2,2.5
delete,/api/login,400,2991,3.1,508,2,23.98,4,26,5,975,2,3,1.64
put,/api/login,500,2799,2.32,749,20,14.4,2,26,8,5846,4,1,1.84
post,/api/search,400,2912,3.23,432,39,20.98,2,19,3,5682,4,4,2.33
delete,/api/login,400,3591,20.22,368,171,0.23,3,46,6,5754,11,13,0.67
post,/api/orders,201,4681,9.88,336,173,0.23,3,20,5,9732,7,3,0.48
patch,/api/orders,403,2636,0.35,480,13,13.47,3,30,1,813,3,4,2.53
delete,/api/login,403,3456,0.1,112,14,14.18,1,45,7,4341,1,2,2.53
post,/api/orders,201,902,3.27,599,15,24.64,2,37,8,6782,6,4,3.01
delete,/api/user/profile,400,1185,1.57,221,26,9.11,5,43,2,2738,5,0,2.85
post,/api/payment,500,301,1.68,238,25,5.18,4,48,6,1843,5,3,3.92
get,/api/user/profile,400,2456,10.76,430,175,0.55,8,40,2,9972,5,12,1.46
get,/api/cart,201,2067,2.13,751,53,19.61,2,23,4,7259,6,2,2.69
post,/api/orders,429,1311,7.12,825,53,23.96,0,48,9,474,6,4,2.42
delete,/api/login,500,1654,1.07,1010,33,2.15,3,45,9,9033,4,0,2.62
put,/api/login,200,272,8.97,229,153,0.02,12,45,2,2837,11,5,0.23
put,/api/orders,201,260,7.75,233,278,0.48,6,47,10,6131,14,12,0.54
get,/api/products,429,2818,5.03,671,13,22.05,1,23,0,8148,5,4,2.5
patch,/api/cart,400,2606,4.72,1034,59,15.62,5,21,7,2096,6,2,1.98
get,/api/search,200,4980,4.78,738,24,19.31,2,19,7,3187,4,4,1.88
post,/api/search,400,2767,2.21,997,10,8.0,2,18,0,7406,6,1,1.67
get,/api/search,404,4550,3.89,1037,25,30.28,0,27,0,67,1,0,1.66
get,/api/orders,429,1296,14.25,56,192,0.13,6,36,7,5885,10,9,0.62
post,/api/search,403,4580,9.5,526,126,0.21,3,18,9,785,11,7,0.56
delete,/api/orders,403,1323,1.2,480,45,15.39,5,41,1,8381,6,0,2.0
